step;result;time
 0;0.2609148667848393583356081541045184086409892137701173664377944633040891885115623275680096097895973682100390442448382753003049920448826655396310785375097468708046541322935139503769212353084999607649331988421717285070484531243243048808204748663621156864;0.0001528
 1;0.0122085502849965176331190247795605432145711023215862725044030229200867424725358516055542587090345140353205506350622502512495768383914322070320281139231298624110366415348338395674608221660272038063188075509999773020633053270538902232773602532644618240;0.002301
 2;0.0002241832069874015602059249177701207571416443371593533145586956071703954644345711852243773181292080181580684508291181992757752754159423516718753656979995400865877264470850258320082229570686033034912493379687756729473226431876984508140454278657474560;0.0036136
 3;0.0000021948366692145033364270899653568543853382094440738058650163694488413256040230758824079437721780145046280622437695610297367794862432074130058479538565954609650976335878324667095485451605221655286217824430011725919370788130617739311632458287415296;0.0037642
 4;0.0000000133470748240489104413113060240822167753718310503585240735449231794326639179865610688079145472209431169266781561926105468725318698836235023154106879025735236068305740840633081953272416788443352092984655844912768538480939685721215900609268416512;0.0037682
 5;0.0000000000552960579482721258184474013467794930616255018432560276929146865392871780435550535190429586634385220896428278296640909419893763279680844978198845471942674127185949542759292068652850251641918025051002844809698492407932095204763363912164835328;0.004333
 6;0.0000000000001660834476118226317978436323042130148589613924869244359174504645931038497507474327920729380821249094847575794855952860400978722636457903964451751376272173984213201610661593857850154757433819292870032522856588448528149244034416693150220288;0.0056862
 7;0.0000000000000003781960810808952812593346357217046938015663490001245902230057379449816705813181480173474608783716332420102363855192778567005140073562443105491952231271619963320440108919067554583339070763775258051789140977913812232426804664946286133248;0.007142
 8;0.0000000000000000006753600563322576625621837460236070516438479643683801889123563301002711294955232802312624782750735117093344996785958385985582337096757254923538418678978326379891355122624117381810558450787345543077850811826148858819086525590585475072;0.0082449
 9;0.0000000000000000000009710719917473721465899216921090608300404630598765333876900224904238544999009072834558274282154872635579491955746909322888568050628326964620210303811919671911527099054296675755512047823586039387928545971316111348476396415139971072;0.0103458
10;0.0000000000000000000000011483705607853007912507855249823178704992810707409855767541211915955257811150469895006990269598220392903118214527982332194440592846882066315693467032248813836281127365095634223100205128853838473041666978300745965127298405367808;0.0110716
11;0.0000000000000000000000000011365712427417613163617902604791650308571875696331921558705052775084021849237617808581995022277018623196051530828564638324202001193116832872911123669880213327721281103398045563083257297942443091397729128302118393261223575552;0.0131553
12;0.0000000000000000000000000000009552639453617245432562270891114619513761443071163596142063467897656874941221114688220377881382379215610701262272605452806036603317654083209506642706495530948365387735169718269514187922408811111597552814640946421709144064;0.0180623
