step;differense;time
34;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.0993538
35;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.105971
36;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.0994855
37;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.108062
38;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.124601
39;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.122815
40;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.122346
41;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.133328
42;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.1319
43;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.14447
44;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.143934
45;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.156151
46;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.168329
47;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.170532
48;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.171769
49;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.180184
50;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.193306
51;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.205008
52;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.19857
53;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.201843
