step;result;time
 0;0.6736120291832148379698913093052641260090998061507277388125369131344986160775922048776816926651303428936796821054517377555696164672053746283555417440315678758213938149414606606358706155458141901474170953084589945926762789185494137375030192890263371776;1.63e-05
 1;0.0231423376098075217682025667046907179858859132135884213351873665517705880692732167017639896400434719860407477271235346680747090822731333809562944594895359632254284952994929382283463811861061956941794101456893014751534095734952266349932732695378395136;0.0004429
 2;0.0231423376098075217682025667046907179858859132135884213351873665517705880692732167017639896400434719860407477271235346680747090822731333809562944594895359632254284952994929382283463811861061956941794101456893014751534095734952266349932732695378395136;0.0016799
 3;0.0004261726487830655218908928895011826209467104035479996856427116310860040570678939603076057620056112509627717010737217872982375463341887374361060443530945649511934340724738003233142377132211153378454490815820612584614549474556059312479593482403446784;0.0048978
 4;0.0004261726487830655218908928895011826209467104035479996856427116310860040570678939603076057620056112509627717010737217872982375463341887374361060443530945649511934340724738003233142377132211153378454490815820612584614549474556059312479593482403446784;0.0084349
 5;0.0000013273580340111777643359755226517478553330672429058206032958453542840823108850824261055593930757227823336305667564080000601734259766034490529704061153992038116461805867772848196549192076111534576244549469348867621154789871244683713365918259085312;0.0153467
 6;0.0000013273580340111777643359755226517478553330672429058206032958453542840823108850824261055593930757227823336305667564080000601734259766034490529704061153992038116461805867772848196549192076111534576244549469348867621154789871244683713365918259085312;0.0294767
 7;0.0000000097999071142557369398605025117806278888349913940895422876732687289478992365132720443729992869260242719187150756808195212357197389274375991979430092418003533473549929542807348833923479484382494384876662596326177803764807148905687838621142351872;0.0451365
 8;0.0000000097999071142557369398605025117806278888349913940895422876732687289478992365132720443729992869260242719187150756808195212357197389274375991979430092418003533473549929542807348833923479484382494384876662596326177803764807148905687838621142351872;0.0634845
 9;0.0000000000064904681029985405185046680947152115611118402042856437494821221536939611384716775668334199983399668463332386394372835772931576698599727121025410923203332889055641176817925731419962478418685752342633118142583897123093508401832137792428179456;0.0782644
10;0.0000000000064904681029985405185046680947152115611118402042856437494821221536939611384716775668334199983399668463332386394372835772931576698599727121025410923203332889055641176817925731419962478418685752342633118142583897123093508401832137792428179456;0.111633
11;0.0000000000000378484328096265595532980512111782126738176508942648065649096168565890668234109349141833482206557715971910758201811254015399243680235878410634064296084730871064816184580455949403551846050034201937247777094144347657003069396692085562671104;0.170529
12;0.0000000000000378484328096265595532980512111782126738176508942648065649096168565890668234109349141833482206557715971910758201811254015399243680235878410634064296084730871064816184580455949403551846050034201937247777094144347657003069396692085562671104;0.198104
13;0.0000000000000000185241105454040414952831637906445282594794029149481770411269416485310329322852364560422629713958267668665186275144855434799133111444290529120999394827838708610739253588956830341484236883833970279979774134311212117848297521413045092352;0.256164
14;0.0000000000000000185241105454040414952831637906445282594794029149481770411269416485310329322852364560422629713958267668665186275144855434799133111444290529120999394827838708610739253588956830341484236883833970279979774134311212117848297521413045092352;0.304047
15;0.0000000000000000226862448519844678955966419462357712488468406383939180223594761124009852096692160672655866712441051655086499493615244652760270607281997899799403967311640229814269893682873267716174883784786319534069102317305408914218892574641826562048;0.372611
16;0.0000000000000000226862448519844678955966419462357712488468406383939180223594761124009852096692160672655866712441051655086499493615244652760270607281997899799403967311640229814269893682873267716174883784786319534069102317305408914218892574641826562048;0.45986
17;0.0000000000000000226439374188769185023957675861505509444784959445666741327011577410741611024660927311051313364914494992876129935436449335440069620085688443429709068551442520782724407777042401653057654614547741800888467419170391499720140994226700681216;0.585817
18;0.0000000000000000226439374188769185023957675861505509444784959445666741327011577410741611024660927311051313364914494992876129935436449335440069620085688443429709068551442520782724407777042401653057654614547741800888467419170391499720140994226700681216;0.690393
19;0.0000000000000000226439403426705799590694325567734564939925468370981283385225848681357558177462407685711705364717404830122719180401239422585891148471871740897601493927154671514681977911110706711753882725320785492040692269183565826110438124263774879744;0.736639
20;0.0000000000000000226439403426705799590694325567734564939925468370981283385225848681357558177462407685711705364717404830122719180401239422585891148471871740897601493927154671514681977911110706711753882725320785492040692269183565826110438124263774879744;0.789233
21;0.0000000000000000226439403608034801062472441870958260721089842177991390546420418944189860585013154203370950255095429678866420340718962724594138579052519129988382951561138918482515493401601445802585027423060979778537593244190368541940303864758341206016;0.915326
22;0.0000000000000000226439403608034801062472441870958260721089842177991390546420418944189860585013154203370950255095429678866420340718962724594138579052519129988382951561138918482515493401601445802585027423060979778537593244190368541940303864758341206016;1.09358
23;0.0000000000000000226439403608009595910543131564499895115363934759673910371540177252015208288189795228505143444851396734822537621424709286076832361682669757066795358246621503558734022264941558829071251755107880588277293377108697369687416356760023203840;1.3099
24;0.0000000000000000226439403608009595910543131564499895115363934759673910371540177252015208288189795228505143444851396734822537621424709286076832361682669757066795358246621503558734022264941558829071251755107880588277293377108697369687416356760023203840;1.40947
25;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.59287
26;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.85821
27;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.10528
28;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.34713
29;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.70955
30;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.83483
31;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.18672
32;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.69379
33;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.86176
34;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.28703
35;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.70372
36;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.02902
37;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.67329
38;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;6.42703
39;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;6.99699
40;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;7.33231
41;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;8.0856
42;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;8.77318
43;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;9.47325
44;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;10.1493
45;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;10.7381
46;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;11.5859
47;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;12.3876
48;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;13.3786
49;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;15.1421
50;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;16.0908
51;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;17.7149
52;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;19.3032
53;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;20.3647
54;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;21.6304
55;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;22.9544
56;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;23.7678
57;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;25.7028
58;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;26.7842
59;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;28.4954
60;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;30.4123
61;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;33.7605
62;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;34.8106
63;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;34.9223
64;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;36.2545
65;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;36.3217
66;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;38.7566
67;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;40.8857
68;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;42.7621
69;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;45.8216
70;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;53.1686
71;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;56.15
72;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;58.8586
73;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;59.042
74;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;61.7002
75;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;64.2597
76;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;66.4606
77;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;70.2524
78;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;72.7997
79;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;76.8234
80;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;79.3252
81;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;84.3992
82;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;89.6798
