step;result;time
11;0.0000000000000378484328096265595532980512111782126738176508942648065649096168565890668234109349141833482206557715971910758201811254015399243680235878410634064296084730871064816184580455949403551846050034201937247777094144347657003069396692085562671104;0.0490677
12;0.0000000000000378484328096265595532980512111782126738176508942648065649096168565890668234109349141833482206557715971910758201811254015399243680235878410634064296084730871064816184580455949403551846050034201937247777094144347657003069396692085562671104;0.0587759
13;0.0000000000000000185241105454040414952831637906445282594794029149481770411269416485310329322852364560422629713958267668665186275144855434799133111444290529120999394827838708610739253588956830341484236883833970279979774134311212117848297521413045092352;0.0756051
14;0.0000000000000000185241105454040414952831637906445282594794029149481770411269416485310329322852364560422629713958267668665186275144855434799133111444290529120999394827838708610739253588956830341484236883833970279979774134311212117848297521413045092352;0.084319
15;0.0000000000000000226862448519844678955966419462357712488468406383939180223594761124009852096692160672655866712441051655086499493615244652760270607281997899799403967311640229814269893682873267716174883784786319534069102317305408914218892574641826562048;0.097285
16;0.0000000000000000226862448519844678955966419462357712488468406383939180223594761124009852096692160672655866712441051655086499493615244652760270607281997899799403967311640229814269893682873267716174883784786319534069102317305408914218892574641826562048;0.119574
17;0.0000000000000000226439374188769185023957675861505509444784959445666741327011577410741611024660927311051313364914494992876129935436449335440069620085688443429709068551442520782724407777042401653057654614547741800888467419170391499720140994226700681216;0.132452
18;0.0000000000000000226439374188769185023957675861505509444784959445666741327011577410741611024660927311051313364914494992876129935436449335440069620085688443429709068551442520782724407777042401653057654614547741800888467419170391499720140994226700681216;0.139529
19;0.0000000000000000226439403426705799590694325567734564939925468370981283385225848681357558177462407685711705364717404830122719180401239422585891148471871740897601493927154671514681977911110706711753882725320785492040692269183565826110438124263774879744;0.163993
20;0.0000000000000000226439403426705799590694325567734564939925468370981283385225848681357558177462407685711705364717404830122719180401239422585891148471871740897601493927154671514681977911110706711753882725320785492040692269183565826110438124263774879744;0.222997
21;0.0000000000000000226439403608034801062472441870958260721089842177991390546420418944189860585013154203370950255095429678866420340718962724594138579052519129988382951561138918482515493401601445802585027423060979778537593244190368541940303864758341206016;0.254256
22;0.0000000000000000226439403608034801062472441870958260721089842177991390546420418944189860585013154203370950255095429678866420340718962724594138579052519129988382951561138918482515493401601445802585027423060979778537593244190368541940303864758341206016;0.288884
23;0.0000000000000000226439403608009595910543131564499895115363934759673910371540177252015208288189795228505143444851396734822537621424709286076832361682669757066795358246621503558734022264941558829071251755107880588277293377108697369687416356760023203840;0.361721
24;0.0000000000000000226439403608009595910543131564499895115363934759673910371540177252015208288189795228505143444851396734822537621424709286076832361682669757066795358246621503558734022264941558829071251755107880588277293377108697369687416356760023203840;0.402944
25;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.44409
26;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.473122
27;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.557615
28;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.602589
29;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.638137
30;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.703298
31;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.735924
32;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.818961
33;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;0.933212
34;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.11016
35;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.35027
36;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.47124
37;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.54573
38;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.72484
39;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.81727
40;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;1.97328
41;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.06691
42;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.1592
43;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.32762
44;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.44006
45;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.67038
46;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.01113
47;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.56805
48;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.85967
49;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.06899
50;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.26386
51;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.48984
52;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.80899
53;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.06323
54;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.28249
55;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.55966
56;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.83405
57;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;6.14065
58;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;6.48477
59;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;8.22849
