step;result;time
 0;0.0261125533428059097932209778895484267323316132582541507960026215661192612249838246918651389485518891816046593810366147156650906790574647974051056557389979089651900228683092063866385805455238191558667903326245580147900314247897842758536930219771559936;0.0002375
 1;0.0261125533428059097932209778895484267323316132582541507960026215661192612249838246918651389485518891816046593810366147156650906790574647974051056557389979089651900228683092063866385805455238191558667903326245580147900314247897842758536930219771559936;0.0002796
 2;0.0048568637039424143105778377261597972204828554108628879781810282429786864787130135634367895131224429209089028685022121166318140606939228737475987725993198987647918124618202027656647856068819769666276234460267402377962929603309193200269368221264510976;0.0029138
 3;0.0048568637039424143105778377261597972204828554108628879781810282429786864787130135634367895131224429209089028685022121166318140606939228737475987725993198987647918124618202027656647856068819769666276234460267402377962929603309193200269368221264510976;0.0054855
 4;0.0000116628595593768668523798386357562423205902620334490798710966969819128658166661260367042136797543289515146166343437667823469097447926283900100547081881705622924779099467325110633228186719947219066995224555330265417894705867307334454710631307149312;0.0137109
 5;0.0000116628595593768668523798386357562423205902620334490798710966969819128658166661260367042136797543289515146166343437667823469097447926283900100547081881705622924779099467325110633228186719947219066995224555330265417894705867307334454710631307149312;0.0384731
 6;0.0000001754239040906695851911398234915761966405576198549969214403262808369502435963369670088554830997316053350389848934184654064644238449055048318924629758203817014063569637309438879078908708454350553681227553457119088034711636446456541811031284908032;0.0330819
 7;0.0000001754239040906695851911398234915761966405576198549969214403262808369502435963369670088554830997316053350389848934184654064644238449055048318924629758203817014063569637309438879078908708454350553681227553457119088034711636446456541811031284908032;0.0557007
 8;0.0000000002358945254165605627820865927689993266601948267282830471062540694217446740807466897502428432248740159866209991788865547314685701308830510080341794392122243472394239957468704504396354598026407995451989714209293926993780589322295259185863983104;0.112137
 9;0.0000000002358945254165605627820865927689993266601948267282830471062540694217446740807466897502428432248740159866209991788865547314685701308830510080341794392122243472394239957468704504396354598026407995451989714209293926993780589322295259185863983104;0.121942
10;0.0000000000008486210795799369632339786028376293077797069338905064603632650505991579719931364011195583775921566437194167658860359618172174777066051873473278678006908827737047895391457000985626413222601002843233176923998330451339175437110926930624905216;0.158188
11;0.0000000000008486210795799369632339786028376293077797069338905064603632650505991579719931364011195583775921566437194167658860359618172174777066051873473278678006908827737047895391457000985626413222601002843233176923998330451339175437110926930624905216;0.203589
12;0.0000000000000008326762295876094972974054364560713340742947585215577900758274570854612464243849780238937818387784774041668060795863268137146615890086340094203726624716384898977007013276294982939596799309908257505992236907688630400108305457417260367872;0.274622
13;0.0000000000000008326762295876094972974054364560713340742947585215577900758274570854612464243849780238937818387784774041668060795863268137146615890086340094203726624716384898977007013276294982939596799309908257505992236907688630400108305457417260367872;0.320915
14;0.0000000000000000010595364829605441554841894794535377705064099922794254107127294260449146125708697310044825021564807817411761884431001812513524806659371164313352609869511507321572634896764416079016053141666391864529850027014955471487019914813851566080;0.418392
15;0.0000000000000000010595364829605441554841894794535377705064099922794254107127294260449146125708697310044825021564807817411761884431001812513524806659371164313352609869511507321572634896764416079016053141666391864529850027014955471487019914813851566080;0.633413
16;0.0000000000000000000008712022506208364333650513070656531904700532759303624260791359678644139825335533372214955026136976106214338298127617474498643894439915666321360741340828110870409039687114413828864656257801967285582918010606558371657352267209637888;0.759841
17;0.0000000000000000000008712022506208364333650513070656531904700532759303624260791359678644139825335533372214955026136976106214338298127617474498643894439915666321360741340828110870409039687114413828864656257801967285582918010606558371657352267209637888;1.04273
18;0.0000000000000000000000004651039030116588339646235839663410197407353102588642664098581726970088125880689706417990406783157500196984804472574683745878557080745573203767928981429860711138479931674847300232640573096672935744443917600780629892572244869120;1.42962
19;0.0000000000000000000000004651039030116588339646235839663410197407353102588642664098581726970088125880689706417990406783157500196984804472574683745878557080745573203767928981429860711138479931674847300232640573096672935744443917600780629892572244869120;1.10931
20;0.0000000000000000000000000003574222100391467030027384957323379534139190223353940353502869542457694362946600894190597380356336902053473770256057073018613563483168458420015553661910953298359175480564439081908555774978980708723655059417796394409112109056;1.17706
21;0.0000000000000000000000000003574222100391467030027384957323379534139190223353940353502869542457694362946600894190597380356336902053473770256057073018613563483168458420015553661910953298359175480564439081908555774978980708723655059417796394409112109056;1.35463
22;0.0000000000000000000000000000000842581911947912889186009035815362083354805074686432174714006536549415669349702016936557872743958919161120456588740353045651826255901478210611983476602729651463874307160959457265538286371120471638644755204852155424964608;1.54804
23;0.0000000000000000000000000000000842581911947912889186009035815362083354805074686432174714006536549415669349702016936557872743958919161120456588740353045651826255901478210611983476602729651463874307160959457265538286371120471638644755204852155424964608;1.80118
24;0.0000000000000000000000000000000000683564412417701079135294696668396246674933293376617766230936148927513907903204372297587831081186268282488423562002214793994794316270827967737332362128448513066608929442869703673966518713251508083568615645638264094720;2.05536
25;0.0000000000000000000000000000000000683564412417701079135294696668396246674933293376617766230936148927513907903204372297587831081186268282488423562002214793994794316270827967737332362128448513066608929442869703673966518713251508083568615645638264094720;2.29452
26;0.0000000000000000000000000000000000000065494088292139565110740276810885150085228969340297555843764341343817712147919045289585423565642665240391884542866539977845899963002458492825952277243751065567482392632538958046003743306369333396202847278223851520;2.568
27;0.0000000000000000000000000000000000000065494088292139565110740276810885150085228969340297555843764341343817712147919045289585423565642665240391884542866539977845899963002458492825952277243751065567482392632538958046003743306369333396202847278223851520;2.86011
28;0.0000000000000000000000000000000000000000068515948587965493773054083178734416174756103908273061023216062047052462295972190540613697120158797256396176389614236667748411422907493806110406002027550823941522177594419909821463074029214345745049872049897472;3.25404
29;0.0000000000000000000000000000000000000000068515948587965493773054083178734416174756103908273061023216062047052462295972190540613697120158797256396176389614236667748411422907493806110406002027550823941522177594419909821463074029214345745049872049897472;3.74718
30;0.0000000000000000000000000000000000000000000001553302494633006830542581952768056579854817079017204305918213203491622677407610116340243302102906356595533955556265517226301404630190243390488297393614255385542876740129942755012302450498647836432172843008;4.27586
31;0.0000000000000000000000000000000000000000000001553302494633006830542581952768056579854817079017204305918213203491622677407610116340243302102906356595533955556265517226301404630190243390488297393614255385542876740129942755012302450498647836432172843008;4.86242
32;0.0000000000000000000000000000000000000000000000003914998465147843134210138408782564812851271988313934420809974015180196392775975273299404449889517832909237658554901870421178052642876973313122695248690464247839533453624851241124771581267415540755857408;5.51787
33;0.0000000000000000000000000000000000000000000000003914998465147843134210138408782564812851271988313934420809974015180196392775975273299404449889517832909237658554901870421178052642876973313122695248690464247839533453624851241124771581267415540755857408;5.465
34;0.0000000000000000000000000000000000000000000000000000074989088753110229639582207818739458466176576114963710786937315169589570577311105731208417050184398725877794611879213000525295364420253606765382634561472093192166699253413704142545044379428370513920;6.19587
35;0.0000000000000000000000000000000000000000000000000000074989088753110229639582207818739458466176576114963710786937315169589570577311105731208417050184398725877794611879213000525295364420253606765382634561472093192166699253413704142545044379428370513920;6.45378
36;0.0000000000000000000000000000000000000000000000000000000135754507794013186560939407616112434282715072677219707934630357328261777305239017075550219591612605018120940028575875198809313355574606125832935698165373569820305944744637907291513178339552526336;7.11358
37;0.0000000000000000000000000000000000000000000000000000000135754507794013186560939407616112434282715072677219707934630357328261777305239017075550219591612605018120940028575875198809313355574606125832935698165373569820305944744637907291513178339552526336;7.50793
38;0.0000000000000000000000000000000000000000000000000000000000006163293728336542579027389216326897380407582886507074017134207437961885565762524052810119837828546837034069384219361129213184987849044689248517775249381816420189044594746838619277515863097344;8.35017
39;0.0000000000000000000000000000000000000000000000000000000000006163293728336542579027389216326897380407582886507074017134207437961885565762524052810119837828546837034069384219361129213184987849044689248517775249381816420189044594746838619277515863097344;8.91756
40;0.0000000000000000000000000000000000000000000000000000000000000002994813915811635809744558789957320525957059604502430533214286913980755845539361242762182849705585846295675242660325180201038636209191490232072902667297610280261047904187689370939207712768;9.89019
41;0.0000000000000000000000000000000000000000000000000000000000000002994813915811635809744558789957320525957059604502430533214286913980755845539361242762182849705585846295675242660325180201038636209191490232072902667297610280261047904187689370939207712768;10.6721
42;0.0000000000000000000000000000000000000000000000000000000000000000000191510053214951909181985183765001580924446891974586903873123682852932627938886135463769613255816338592763334236126148002244714526956782330303521915429400351240628456074126706031460352;11.4304
43;0.0000000000000000000000000000000000000000000000000000000000000000000191510053214951909181985183765001580924446891974586903873123682852932627938886135463769613255816338592763334236126148002244714526956782330303521915429400351240628456074126706031460352;12.6349
44;0.0000000000000000000000000000000000000000000000000000000000000000000000043536954305815459749349807118734080780998499749987084174588103772241680493520218766831760986713079608205548465560697868049990144148514439374532680364991695243242992567149381287936;13.6246
45;0.0000000000000000000000000000000000000000000000000000000000000000000000043536954305815459749349807118734080780998499749987084174588103772241680493520218766831760986713079608205548465560697868049990144148514439374532680364991695243242992567149381287936;14.9946
46;0.0000000000000000000000000000000000000000000000000000000000000000000000000003456836870443139845025195909680087213190435420458443795082851066888919399415327577024694138824732381256324678500322637654055322135154217066753187202708634962912458812210282496;16.8977
47;0.0000000000000000000000000000000000000000000000000000000000000000000000000003456836870443139845025195909680087213190435420458443795082851066888919399415327577024694138824732381256324678500322637654055322135154217066753187202708634962912458812210282496;18.9847
48;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000427250159150213044853890535025351235658894076192792816298285407817086912559846462785980365014401234156097166330265384528172981490465677999227837115494115078457892467113984;19.7675
49;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000427250159150213044853890535025351235658894076192792816298285407817086912559846462785980365014401234156097166330265384528172981490465677999227837115494115078457892467113984;21.5941
50;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000040716354928299435357664450758417057920368213370734391872349629872751390248876233934964292130327394881097325807484554952032979656697428194742279594084272654278306299904;23.6709
51;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000040716354928299435357664450758417057920368213370734391872349629872751390248876233934964292130327394881097325807484554952032979656697428194742279594084272654278306299904;23.9974
52;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000002861447736227159263770711886231422911325685737284207055539465393678921826571921894050555703690217277601041073288839658763387777510299900087850609815805928885190656;26.6941
53;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000002861447736227159263770711886231422911325685737284207055539465393678921826571921894050555703690217277601041073288839658763387777510299900087850609815805928885190656;27.7128
54;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331753171168520363892943290015704225560118625718521392767530397762605036462754338133473479611014268692817912602046426294121134330361651582227566595849683206144;29.0921
55;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331753171168520363892943290015704225560118625718521392767530397762605036462754338133473479611014268692817912602046426294121134330361651582227566595849683206144;29.6554
56;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012927734388678528871682340475932657029392067903593897438309422367356803301378905375995229887643473528215860502697444875257752121322133081669645287085309952;31.5973
57;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012927734388678528871682340475932657029392067903593897438309422367356803301378905375995229887643473528215860502697444875257752121322133081669645287085309952;33.2147
58;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001941110116211019216264851877207244933100848703135890510749266094532382389023324147347045144412649749015959194253043427821498258646305238302175772278784;36.4268
59;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001941110116211019216264851877207244933100848703135890510749266094532382389023324147347045144412649749015959194253043427821498258646305238302175772278784;39.5759
60;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036628166919576868929910771932665359744522359266141048012651260072676493391712686867085070856578557370961943948737291865272795516533879211854659584;42.131
61;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036628166919576868929910771932665359744522359266141048012651260072676493391712686867085070856578557370961943948737291865272795516533879211854659584;41.9376
62;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008378047980687358309764839211705425521068728645256652888116655264726607604632845033749394664154230051500510069414648080922795702516050921783296;43.2157
63;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008378047980687358309764839211705425521068728645256652888116655264726607604632845033749394664154230051500510069414648080922795702516050921783296;46.8951
64;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042055905159096354528177153643641797319334411374725415858739594952172241097920899126947939132026283281404998839022704320883215927405969408;46.2927
65;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042055905159096354528177153643641797319334411374725415858739594952172241097920899126947939132026283281404998839022704320883215927405969408;54.6403
66;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027223484267802509764945220330752897320291935228442726456214431744868074205911210230066838424073020863520872012112972259302694421790720;60.6733
67;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027223484267802509764945220330752897320291935228442726456214431744868074205911210230066838424073020863520872012112972259302694421790720;61.732
68;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141208422969555146658084675677852483972678753818980713853276631048610055866268531610986127285269557123070230740759811108208902144;60.5394
69;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141208422969555146658084675677852483972678753818980713853276631048610055866268531610986127285269557123070230740759811108208902144;67.2926
70;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067646712999698557400035251956870530829111914667340447203419679018973879648314463551205671862384141585241835261729610804494336;69.8912
71;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067646712999698557400035251956870530829111914667340447203419679018973879648314463551205671862384141585241835261729610804494336;75.1406
72;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000898816426279955694013925812217124303078589240056797800774345825071911825784505301110141812874860030954482432941106397184;78.014
73;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000898816426279955694013925812217124303078589240056797800774345825071911825784505301110141812874860030954482432941106397184;83.7437
74;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130039963624962474993715353110121647095557569199823279556096873004981931008492880331751858243043735391042568307343360;82.5366
75;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130039963624962474993715353110121647095557569199823279556096873004981931008492880331751858243043735391042568307343360;91.3148
76;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002642591415979022771708440121078949312685728762514942504769638074127441577923249373515195072734631464361965649920;93.3183
77;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002642591415979022771708440121078949312685728762514942504769638074127441577923249373515195072734631464361965649920;94.2972
78;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194814676693476016064573780874625982534336178126637179716062468604154952287260385944606021400383193624870912;99.3594
79;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194814676693476016064573780874625982534336178126637179716062468604154952287260385944606021400383193624870912;103.355
80;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005291669931824554388518125426918444547323644171197050264384899305699077781333745921131187433304154439680;107.913
81;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005291669931824554388518125426918444547323644171197050264384899305699077781333745921131187433304154439680;114.94
82;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227868807381463274111562651282612383113584514302329581840454909234511306286508341762237790284677120;116.625
83;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227868807381463274111562651282612383113584514302329581840454909234511306286508341762237790284677120;122.406
84;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007931891629448376423281302900100249277236103481058008735393580628225616898855438993437883367424;126.519
85;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007931891629448376423281302900100249277236103481058008735393580628225616898855438993437883367424;139.136
86;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206593268958361625589398411924679819386021930859848371560903026680972111348162651188363264;141.67
87;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206593268958361625589398411924679819386021930859848371560903026680972111348162651188363264;145.105
88;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009277800090497273141821288547771649924366109450551695713160517057174585213810884214784;154.4
89;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009277800090497273141821288547771649924366109450551695713160517057174585213810884214784;161.258
90;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141316507697101917063810606361428521805131960919202283154130654060544657163550720;163.988
91;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141316507697101917063810606361428521805131960919202283154130654060544657163550720;171.922
