step;result;time
16;0.0000000000000000000009573228195097630067527987951471235377932081409504247977618714770316053887622950809496834264814333792063839778719646163811839816596058123004262967860482845687524679702556534210427220735713553935027937439252370271968611570716508160;0.68321
17;0.0000000000000000000009573228195097630067527987951471235377932081409504247977618714770316053887622950809496834264814333792063839778719646163811839816596058123004262967860482845687524679702556534210427220735713553935027937439252370271968611570716508160;0.856455
18;0.0000000000000000000000001457068465989971545716884631464537341370500945298987193846814042408253090714595938816277384606342877616914543309223618083779285549088396865239710895403923009930867447421455863304320295048458388623920743544179972738482991792128;1.00304
19;0.0000000000000000000000001457068465989971545716884631464537341370500945298987193846814042408253090714595938816277384606342877616914543309223618083779285549088396865239710895403923009930867447421455863304320295048458388623920743544179972738482991792128;1.18161
20;0.0000000000000000000000000003565013047088770318683620935507825347401368665767034799769800027081288218505838755121260492623103175363931295750601873662011998044830655887137002542628688896904843054585664127921061985962726449742871475599202995830152757248;1.41845
21;0.0000000000000000000000000003565013047088770318683620935507825347401368665767034799769800027081288218505838755121260492623103175363931295750601873662011998044830655887137002542628688896904843054585664127921061985962726449742871475599202995830152757248;1.7266
22;0.0000000000000000000000000000000061056867724496353649716845151146428731357563391525269667231889358183938138434838282687820659968466979530259544896956925714377696890143445771166108220653494834696905767867613282268482958139087390397769747522810284081152;1.95747
23;0.0000000000000000000000000000000061056867724496353649716845151146428731357563391525269667231889358183938138434838282687820659968466979530259544896956925714377696890143445771166108220653494834696905767867613282268482958139087390397769747522810284081152;2.29844
24;0.0000000000000000000000000000000000626853299605748881039847252575297206232136490824948806666753866814936062692729351657943541988792586840580498444762727271571515322063194213146277620163578707526603172769255611154440972088573345057437535592684361613312;2.55445
25;0.0000000000000000000000000000000000626853299605748881039847252575297206232136490824948806666753866814936062692729351657943541988792586840580498444762727271571515322063194213146277620163578707526603172769255611154440972088573345057437535592684361613312;2.92154
26;0.0000000000000000000000000000000000000030420313844324253075570188575314648581078522063015011915365201983872707872066404849811872400013631353414521237319014985423008836551940391289719805925860045921417492900928833674441359552941961063887832387730538496;3.29515
27;0.0000000000000000000000000000000000000030420313844324253075570188575314648581078522063015011915365201983872707872066404849811872400013631353414521237319014985423008836551940391289719805925860045921417492900928833674441359552941961063887832387730538496;3.80341
28;0.0000000000000000000000000000000000000000058063730887531169157768190520620856892281225152394494941057225900299240608029338897750573905341990276873960284868180019354835855431409140811650317816116574598461517236010111440783792498512453264010406392758272;4.20752
29;0.0000000000000000000000000000000000000000058063730887531169157768190520620856892281225152394494941057225900299240608029338897750573905341990276873960284868180019354835855431409140811650317816116574598461517236010111440783792498512453264010406392758272;4.77667
30;0.0000000000000000000000000000000000000000000004905896136628077151660570336574372153743010397817793129101604275322419275067971548600189965109221442369647999262099208060433421203231222259748473351112670090672177304299467066504528672347351425616147644416;5.4563
31;0.0000000000000000000000000000000000000000000004905896136628077151660570336574372153743010397817793129101604275322419275067971548600189965109221442369647999262099208060433421203231222259748473351112670090672177304299467066504528672347351425616147644416;5.91957
32;0.0000000000000000000000000000000000000000000000003063329219899905032311577802770661536164675146243774904028092826228775827772526913944514172265222631915391653583494836430278555000688467492583850873871773549514063085881419714872263260590959282263949312;6.69669
33;0.0000000000000000000000000000000000000000000000003063329219899905032311577802770661536164675146243774904028092826228775827772526913944514172265222631915391653583494836430278555000688467492583850873871773549514063085881419714872263260590959282263949312;7.64653
34;0.0000000000000000000000000000000000000000000000000000329353688064140931042476246437319486160219700066250533871627726243489060876647920757466049304962891858460468461615151785949395666100909084374404834260370863928286176714071655561761706759875691806720;8.15329
35;0.0000000000000000000000000000000000000000000000000000329353688064140931042476246437319486160219700066250533871627726243489060876647920757466049304962891858460468461615151785949395666100909084374404834260370863928286176714071655561761706759875691806720;8.96564
36;0.0000000000000000000000000000000000000000000000000000000097380855761950339394862661298495375893044409227932267854050891092233503902962111795831308756706138297658234998189449244243733340245465549015605197981930739876218167884649660596512330956232720384;9.85379
37;0.0000000000000000000000000000000000000000000000000000000097380855761950339394862661298495375893044409227932267854050891092233503902962111795831308756706138297658234998189449244243733340245465549015605197981930739876218167884649660596512330956232720384;10.973
38;0.0000000000000000000000000000000000000000000000000000000000012276370706959075397978953626609796334626327819787983988466842283538065915238124564729345663464540343697475662986990175889015362865634184652820710729246584914777513804448807841113041922949120;12.0889
39;0.0000000000000000000000000000000000000000000000000000000000012276370706959075397978953626609796334626327819787983988466842283538065915238124564729345663464540343697475662986990175889015362865634184652820710729246584914777513804448807841113041922949120;13.3084
40;0.0000000000000000000000000000000000000000000000000000000000000001938519463682733738235692369014956649624145223174683277992821377257246148564475798478667708785936659495270984146819222577923005948241455341331909837371312653361830711761858049724750233600;14.0324
41;0.0000000000000000000000000000000000000000000000000000000000000001938519463682733738235692369014956649624145223174683277992821377257246148564475798478667708785936659495270984146819222577923005948241455341331909837371312653361830711761858049724750233600;15.2504
42;0.0000000000000000000000000000000000000000000000000000000000000000000283015115061706972062228605102370071759085355420456813067563495852982593745180261144811877279090803164646318604379772922479206775841886580386131400819934917750738470666965139327025152;17.1953
43;0.0000000000000000000000000000000000000000000000000000000000000000000283015115061706972062228605102370071759085355420456813067563495852982593745180261144811877279090803164646318604379772922479206775841886580386131400819934917750738470666965139327025152;18.7833
44;0.0000000000000000000000000000000000000000000000000000000000000000000000024643748635829906463771308389273453898275287401770520712210297958774783179391411141418891339816435694966474330626213530308090969707610694390500210060690796241597839153180488761344;20.7407
45;0.0000000000000000000000000000000000000000000000000000000000000000000000024643748635829906463771308389273453898275287401770520712210297958774783179391411141418891339816435694966474330626213530308090969707610694390500210060690796241597839153180488761344;22.0556
46;0.0000000000000000000000000000000000000000000000000000000000000000000000000004294953923783059590541337628983486268096085091981449589730283330452898039118497021275677492647166396763130798793883047334172409209300025870809681406156343791285129496563286016;23.4508
47;0.0000000000000000000000000000000000000000000000000000000000000000000000000004294953923783059590541337628983486268096085091981449589730283330452898039118497021275677492647166396763130798793883047334172409209300025870809681406156343791285129496563286016;25.5121
48;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000197852432198495604131921419486457981805283383889111908526961749127277448744674831802226512233910854619353872928752253507961816488390485820447436383245222793893824004358144;27.1035
49;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000197852432198495604131921419486457981805283383889111908526961749127277448744674831802226512233910854619353872928752253507961816488390485820447436383245222793893824004358144;29.1951
50;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000044785197906968476147126224598981741382873699427907190478037398104453811347657529696738901130986951795778678217422439215264577803350550475429270821293658044090376257536;33.2675
51;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000044785197906968476147126224598981741382873699427907190478037398104453811347657529696738901130986951795778678217422439215264577803350550475429270821293658044090376257536;34.1627
52;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000907052005938096735867729990373024379786164553793870713160342743112806558154744798189723272871651369496120152482779804924767127289759703446135068736335729311875072;35.9413
53;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000907052005938096735867729990373024379786164553793870713160342743112806558154744798189723272871651369496120152482779804924767127289759703446135068736335729311875072;38.7451
54;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331304420472010808348731305975327638803213194558546441787038994910394114105517725754048177264521891172696408032469783263203154446944223235186630956872626077696;41.4748
55;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331304420472010808348731305975327638803213194558546441787038994910394114105517725754048177264521891172696408032469783263203154446944223235186630956872626077696;43.7911
56;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000939046769183025675928374596950301778609799451215333380758690024411467781800335724675228807304115673541792341426655749209953632917989296541990825194684416;49.719
57;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000939046769183025675928374596950301778609799451215333380758690024411467781800335724675228807304115673541792341426655749209953632917989296541990825194684416;52.5204
58;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001782327421947124860948773452495441547323726226850292334959249884051272343898265885990568193046801946221224410506057189135038221677951209861238575071232;55.8254
59;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001782327421947124860948773452495441547323726226850292334959249884051272343898265885990568193046801946221224410506057189135038221677951209861238575071232;58.2299
60;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017394744541699403720326591735873043624975636774530832097426035620670541550986909303059948828458365646695261845471785314278061767684089548036374528;59.3471
61;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017394744541699403720326591735873043624975636774530832097426035620670541550986909303059948828458365646695261845471785314278061767684089548036374528;61.8286
62;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007108478829638370869512692741086645926750850809942127266472484479194702759150913285143475209261790897810386541448549673425891621768010227777536;66.1762
63;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007108478829638370869512692741086645926750850809942127266472484479194702759150913285143475209261790897810386541448549673425891621768010227777536;70.3586
64;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139461079569181971751636629601135641665833264630368102040841836787843854561089096885139902138610556048964005133018817818267094337628143616;74.8147
65;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139461079569181971751636629601135641665833264630368102040841836787843854561089096885139902138610556048964005133018817818267094337628143616;78.5975
66;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021323636804338637363474419915691631611552054069405117570257330725111642296825660339629458629157619699167317094354080022427029412511744;80.5654
67;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021323636804338637363474419915691631611552054069405117570257330725111642296825660339629458629157619699167317094354080022427029412511744;83.4076
68;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600291770769577813057097081656741303545736818209578964627359878607931699213956419091278501092546349072896856484080158749002563584;87.7873
69;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600291770769577813057097081656741303545736818209578964627359878607931699213956419091278501092546349072896856484080158749002563584;93.946
70;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048564433967732439620268051707995626235256431772634620235427877612096031719715505732260674787683997330006211565463359673335808;98.732
71;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048564433967732439620268051707995626235256431772634620235427877612096031719715505732260674787683997330006211565463359673335808;103.44
72;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001774577441545747309619396762812828977674809939828852786146544307478594954971894148280501338606720288024251382105188073472;107.717
73;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001774577441545747309619396762812828977674809939828852786146544307478594954971894148280501338606720288024251382105188073472;112.527
